city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,highway_risk_score,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,poi_total,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,risk_road_type,risk_intersection,risk_poi,risk_lanes_speed,risk_score_raw,is_blackspot,expected_accident_rate,expected_accidents,intersection_multiplier,poi_multiplier,adjusted_accidents,accidents_per_500m,rf_risk_score,xgb_risk_score,predicted_label,cat_risk_score,cat_predicted,xgb_risk_score_v2,xgb_predicted_v2,morth_predicted,mismatch_category,osmid_str,lat,lon
Pune,772112834,66.1,residential,1,40,0,18,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.1189799999999999,1.8,1.0,0.214164,1.62,0.0123394710093274,2.1703318e-05,0,0.0,0,0.4684987,0,0,Safe (Both Agree),772112834,18.46995,73.87464
Delhi,432367010,114.8,residential,1,40,0,44,2,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.20664,1.8,1.06,0.39426912,1.7172000000000005,0.0006991279565469,6.658936e-06,0,0.0,0,0.0053938585,0,0,Safe (Both Agree),432367010,28.65145,77.09936
Delhi,421731069,27.3,residential,1,40,0,31,2,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.04914,1.8,1.06,0.09375912,0.9375912,0.0001237762990827,1.4050327e-06,0,0.0,0,0.0014967716,0,0,Safe (Both Agree),421731069,28.64166,77.27321
Pune,1375912050,132.3,residential,1,40,0,6,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.23814,1.48,1.0,0.3524472,1.332,0.0131774999417586,1.6837917e-05,0,0.0,0,0.52960724,1,0,Safe (Both Agree),1375912050,18.74281,73.8576
Delhi,1223734795,35.8,residential,1,40,0,33,2,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.06444,1.8,1.06,0.12295152,1.2295152,0.0001233503795534,3.2971088e-06,0,0.0,0,0.007409622,0,0,Safe (Both Agree),1223734795,28.50402,77.25409
Delhi,1121637257,22.9,residential,1,40,0,63,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.04122,1.8,1.0,0.074196,0.74196,7.232385903773035e-05,9.964565e-07,0,0.0,0,8.946435e-05,0,0,Safe (Both Agree),1121637257,28.66135,77.13345
Pune,978026345,121.8,primary,1,40,1,19,5,0,0,0,4,0,4.0,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,8.2,0.99876,1.8,1.2,2.1573215999999995,8.855999999999998,0.977187086526023,0.9829402,1,1.0,1,0.9073281,1,1,Confirmed Black Spot,978026345,18.50827,73.78295
Delhi,1071922303,88.1,residential,1,40,0,13,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.1585799999999999,1.8,1.0,0.285444,1.62,0.0025801283926461,1.2874598e-05,0,0.0,0,0.09408119,0,0,Safe (Both Agree),1071922303,28.76121,77.17057
Delhi,423114942,22.5,residential,1,40,0,35,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.0405,1.8,1.0,0.0729,0.7290000000000001,9.12313119596068e-05,8.780667e-07,0,0.0,0,0.00022438234,0,0,Safe (Both Agree),423114942,28.63609,76.96626
Delhi,502598910,18.3,secondary,1,40,1,92,4,2,1,0,0,0,4.2,723.7,30.2,0.0,11320,97.5,1,1,1,0,3,0,5.6,0.10248,1.8,1.21,0.22320144,2.2320144,0.0524498454119751,0.00018804487,0,0.0,0,0.0005405809,0,1,Safe (Both Agree),502598910,28.63629,77.09597
Delhi,1075644901,23.5,residential,1,40,0,93,2,4,1,0,0,0,7.2,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.0423,1.8,1.36,0.1035504,1.0355040000000002,0.0001264631100085,2.4421172e-06,0,0.0,0,0.00026522347,0,0,Safe (Both Agree),1075644901,28.64926,77.12838
Delhi,706989998,28.1,tertiary,1,40,0,45,3,1,0,0,0,0,1.5,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,3.4,0.09554,1.8,1.075,0.1848699,1.848699,0.0001354491668206,5.8341457e-06,0,0.0,0,0.00071459607,0,0,Safe (Both Agree),706989998,28.64646,77.27717
Pune,243909651,166.1,secondary,1,40,1,26,4,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,1,0,0,2,1,5.6,0.93016,1.8,1.0,1.6742879999999998,5.039999999999999,0.9689368330259772,0.99671906,1,0.989,1,0.9099627,1,1,Confirmed Black Spot,243909651,18.62607,73.79829
Delhi,423591203,173.9,residential,1,40,0,82,2,0,3,0,0,0,3.6,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.31302,1.8,1.18,0.66485448,1.9116,0.000530855713695,6.9264674e-06,0,0.0,0,0.0047362093,0,0,Safe (Both Agree),423591203,28.6204,77.06404
Delhi,751568384,10.5,residential,1,40,1,26,2,2,0,0,3,0,6.0,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.0189,1.8,1.3,0.044226,0.4422600000000001,0.0027103839907551,1.2662377e-06,0,0.0,0,0.00058191887,0,0,Safe (Both Agree),751568384,28.54336,77.24998
Delhi,1079433324,17.2,residential,1,40,0,22,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.03096,1.8,1.0,0.055728,0.5572800000000001,0.0002458722010575,7.044587e-07,0,0.0,0,0.0001428057,0,0,Safe (Both Agree),1079433324,28.80875,77.06264
Pune,1118268602,64.4,residential,1,40,0,32,2,0,3,0,1,1,5.4,1155.4,30.4,0.0,603,61.0,0,1,1,0,2,0,1.8,0.11592,1.8,1.27,0.26499312,2.0574,0.0022676786656506,1.1610576e-05,0,0.0,0,0.11869757,0,0,Safe (Both Agree),1118268602,18.50221,73.85997
Delhi,1081325123,46.0,residential,1,40,0,17,2,0,0,1,2,0,3.3,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.0828,1.8,1.165,0.1736316,1.7363160000000002,0.0087584339768548,6.7613087e-06,0,0.0,0,0.064829715,0,0,Safe (Both Agree),1081325123,28.62287,77.07181
Pune,97699177,248.6,tertiary,2,40,1,10,3,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,3.4,0.84524,1.8,1.0,1.521432,3.06,0.0303219457875365,0.0002751461,0,0.0,0,0.9424947,1,0,Safe (Both Agree),97699177,18.66171,73.84856
Delhi,668368246,50.0,residential,1,40,1,16,2,1,0,0,0,0,1.5,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.09,1.8,1.075,0.17415,1.7415,0.0275381814899835,2.8298258e-05,0,0.0,0,0.4445085,0,0,Safe (Both Agree),668368246,28.71629,77.21551
Delhi,422399193,64.7,residential,1,40,0,33,2,0,2,0,0,0,2.4,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.11646,1.8,1.12,0.23478336,1.8144,0.0007712672153854,6.751502e-06,0,0.0,0,0.023828436,0,0,Safe (Both Agree),422399193,28.85458,77.09069
Pune,552510895,5.6,residential,1,40,0,22,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.01008,1.8,1.0,0.018144,0.18144,0.0015252475713387,7.5022143e-07,0,0.0,0,0.00026459937,0,0,Safe (Both Agree),552510895,18.45768,73.97015
Delhi,1070946261,19.5,residential,1,40,0,38,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.0351,1.8,1.0,0.06318,0.6318,7.762199432446312e-05,6.9889927e-07,0,0.0,0,0.00013171276,0,0,Safe (Both Agree),1070946261,28.76247,77.20531
Delhi,171708727,32.8,tertiary,1,40,1,8,3,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,3.4,0.1115199999999999,1.64,1.0,0.1828928,1.828928,0.0165080980752073,1.0622059e-05,0,0.0,0,0.2577364,0,0,Safe (Both Agree),171708727,28.76176,77.08957
Pune,1187814390,213.8,residential,1,40,0,10,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.38484,1.8,1.0,0.692712,1.62,0.0131774999417586,2.3182503e-05,0,0.0,0,0.4873454,0,0,Safe (Both Agree),1187814390,18.50387,73.97173
Pune,240769572,494.2,trunk,1,40,0,0,6,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,1,0,0,0,1,1,10.8,5.33736,1.0,1.0,5.33736,5.4,0.951957004637443,0.9998534,1,0.9982,1,0.40506,0,0,Government Blind Spot,240769572,19.11803,74.17017
Delhi,423557015,18.2,residential,1,40,0,22,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.03276,1.8,1.0,0.058968,0.58968,0.0002458722010575,7.044587e-07,0,0.0,0,0.00015545539,0,0,Safe (Both Agree),423557015,28.57,77.28123
Pune,631758876,120.0,residential,1,40,0,15,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.216,1.8,1.0,0.3888,1.62,0.0140207684535132,2.3196657e-05,0,0.0,0,0.3940259,0,0,Safe (Both Agree),631758876,18.27698,74.31874
Pune,436376410,80.3,living_street,1,40,0,27,1,1,2,0,1,0,4.9,1155.4,30.4,0.0,603,61.0,0,1,1,0,2,0,1.0,0.0803,1.8,1.245,0.1799523,1.1205,0.0056024850997046,1.4506493e-05,0,0.0038,0,0.092619225,0,0,Safe (Both Agree),436376410,18.5285,73.83565
Delhi,421427458,23.4,residential,1,40,0,45,2,1,0,0,0,0,1.5,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.04212,1.8,1.075,0.0815022,0.815022,7.399589239209894e-05,1.2788237e-06,0,0.0,0,0.0003915098,0,0,Safe (Both Agree),421427458,28.6305,77.29283
Pune,1111038742,111.2,residential,1,40,0,12,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.20016,1.8,1.0,0.360288,1.62,0.0131774999417586,2.4335792e-05,0,0.0,0,0.5451393,1,0,Safe (Both Agree),1111038742,18.69499,73.68385
Pune,296206220,176.7,residential,1,40,0,18,2,1,0,0,0,0,1.5,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.31806,1.8,1.075,0.6154461,1.7415,0.0057889346188908,1.6751734e-05,0,0.0,0,0.087670326,0,0,Safe (Both Agree),296206220,18.58363,73.89555
Delhi,170455156,85.8,primary,2,40,1,7,5,0,0,0,2,0,2.0,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,8.2,0.70356,1.56,1.1,1.20730896,7.0356000000000005,0.98583886307462,0.93137276,1,0.9984,1,0.7528417,1,1,Confirmed Black Spot,170455156,28.50197,77.30014
Pune,823696187,31.9,primary,3,40,1,13,5,1,3,0,4,0,9.1,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,8.2,0.26158,1.8,1.455,0.6850780200000001,6.8507802,0.9954807850515656,0.99107504,1,0.9918,1,0.9539529,1,1,Confirmed Black Spot,823696187,18.50634,73.82647
Delhi,423373855,116.3,residential,1,40,0,56,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.20934,1.8,1.0,0.376812,1.62,0.0002360564731191,6.8839336e-06,0,0.0,0,0.0015134405,0,0,Safe (Both Agree),423373855,28.70531,77.06528
Pune,1219680006,29.9,residential,1,40,0,5,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,1.8,0.05382,1.4,1.0,0.075348,0.75348,0.0082241724289346,1.7277675e-06,0,0.0,0,0.09533261,0,0,Safe (Both Agree),1219680006,18.74981,73.86466
Delhi,1075061260,72.3,residential,1,40,0,42,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.1301399999999999,1.8,1.0,0.2342519999999999,1.6199999999999997,0.0005736708969029,6.554443e-06,0,0.0,0,0.009811406,0,0,Safe (Both Agree),1075061260,28.7153,77.27911
Pune,1452864821,398.5,residential,1,40,0,2,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,1.8,0.7173,1.16,1.0,0.832068,1.044,0.0118640065692622,5.5592204e-06,0,0.0,0,0.2732176,0,0,Safe (Both Agree),1452864821,18.70258,73.63409
Pune,859140403,462.6,unclassified,1,40,0,0,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,2.1,0.97146,1.0,1.0,0.97146,1.05,0.0153275170794625,4.3709842e-06,0,0.0,0,0.40506,0,0,Safe (Both Agree),859140403,18.59052,74.18828
Delhi,152234808,221.1,secondary,4,60,1,9,4,1,0,0,2,0,3.5,723.7,30.2,0.0,11320,97.5,1,1,1,1,4,1,5.6,1.23816,1.72,1.175,2.5023213600000003,5.658800000000001,0.9779818271800168,0.9945681,1,0.9382,1,0.97882277,1,1,Confirmed Black Spot,152234808,28.44994,77.18416
Pune,1213788543,43.1,unclassified,1,40,0,3,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,2.1,0.09051,1.24,1.0,0.1122324,1.122324,0.0105931000636274,4.617286e-06,0,0.0,0,0.20285799,0,0,Safe (Both Agree),1213788543,18.5097,73.68105
Delhi,423110381,67.7,residential,1,40,0,18,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.12186,1.8,1.0,0.219348,1.62,0.0019368649238365,1.0202997e-05,0,0.0,0,0.0616737,0,0,Safe (Both Agree),423110381,28.69299,76.99645
Delhi,38235166,197.4,secondary,1,40,1,10,4,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,1,1,0,0,2,1,5.6,1.10544,1.8,1.06,2.10917952,5.3424000000000005,0.9830069347886058,0.9954697,1,0.993,1,0.7117511,1,1,Confirmed Black Spot,38235166,28.64874,77.21773
Delhi,212738955,22.9,residential,1,40,0,19,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.04122,1.8,1.0,0.074196,0.74196,0.0002458722010575,1.0411718e-06,0,0.0,0,0.0006210648,0,0,Safe (Both Agree),212738955,28.71446,77.05332
Pune,256431139,60.0,tertiary,1,40,0,28,3,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,3.4,0.204,1.8,1.0,0.3671999999999999,3.06,0.0093856430153017,0.00021173611,0,0.0,0,0.34585974,0,0,Safe (Both Agree),256431139,18.50416,73.9378
Delhi,1069929282,15.6,residential,1,40,0,3,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,0,0,0,0,0,1.8,0.0280799999999999,1.24,1.0,0.0348191999999999,0.3481919999999999,0.0001376227863044,4.075121e-07,0,0.0,0,3.23244e-05,0,0,Safe (Both Agree),1069929282,28.7754,77.11018
Delhi,1121975159,35.0,residential,1,40,0,26,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.063,1.8,1.0,0.1134,1.134,0.0001933826737815,3.333023e-06,0,0.0,0,0.009140943,0,0,Safe (Both Agree),1121975159,28.52554,77.22343
Pune,1181938572,112.5,secondary,1,40,0,20,4,1,4,0,0,0,6.3,1155.4,30.4,0.0,603,61.0,1,1,1,0,3,1,5.6,0.63,1.8,1.315,1.49121,6.6276,0.9450797636284094,0.9989471,1,0.9986,1,0.08510429,0,1,Confirmed Black Spot,1181938572,18.50862,73.87408
Delhi,423737629,33.8,residential,1,40,0,83,2,0,0,1,0,0,1.3,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.06084,1.8,1.065,0.1166302799999999,1.1663027999999998,2.065259070960897e-05,3.5751832e-06,0,0.0,0,0.0005239272,0,0,Safe (Both Agree),423737629,28.61806,77.05696
Pune,239840617,7.7,tertiary,2,40,1,9,3,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,3.4,0.02618,1.72,1.0,0.0450295999999999,0.450296,1.8416206261510128e-05,1.3899767e-06,0,0.0,0,0.0009426474,0,0,Safe (Both Agree),239840617,18.59779,73.71695
Pune,244828405,97.6,unclassified,1,40,0,3,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,2.1,0.20496,1.24,1.0,0.2541504,1.302,0.0131768650975207,1.2100331e-05,0,0.0,0,0.48161328,0,0,Safe (Both Agree),244828405,18.22837,73.72738
Pune,857046963,7.7,residential,1,40,0,4,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,1.8,0.01386,1.32,1.0,0.0182952,0.182952,0.0005109453424325,6.0472064e-07,0,0.0,0,0.00018483055,0,0,Safe (Both Agree),857046963,18.62182,73.95493
Delhi,171501193,112.0,tertiary,1,40,0,81,3,1,3,0,0,0,5.1,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,3.4,0.3808,1.8,1.255,0.8602272,3.8403,0.0016645236901239,0.00016098961,0,0.0006,0,0.0028942903,0,0,Safe (Both Agree),171501193,28.68415,77.12836
Delhi,"[1080170954, 1080170955]",364.3,residential,1,40,0,10,2,0,1,0,0,0,1.2,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.65574,1.8,1.06,1.25115192,1.7172,0.007113213988589,1.2629341e-05,0,0.0,0,0.044810172,0,0,Safe (Both Agree),"[1080170954, 1080170955]",28.6542,77.22413
Delhi,423616268,26.0,residential,1,40,0,50,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.0468,1.8,1.0,0.08424,0.8424,7.232385903773035e-05,1.2616645e-06,0,0.0,0,0.00032642332,0,0,Safe (Both Agree),423616268,28.72916,77.26139
Pune,1153405638,132.4,unclassified,1,40,0,9,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,2.1,0.27804,1.72,1.0,0.4782288,1.806,0.0131774999417586,1.575943e-05,0,0.0,0,0.42751035,0,0,Safe (Both Agree),1153405638,18.48295,74.30081
Delhi,171634509,18.5,residential,1,40,0,59,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.0333,1.8,1.0,0.05994,0.5994,7.232385903773035e-05,6.9889927e-07,0,0.0,0,3.946309e-05,0,0,Safe (Both Agree),171634509,28.69493,77.0986
Delhi,1187135458,154.1,residential,1,40,0,57,2,1,0,0,0,0,1.5,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.27738,1.8,1.075,0.5367303,1.7414999999999998,0.0004108848024879,6.5277186e-06,0,0.0,0,0.0009971091,0,0,Safe (Both Agree),1187135458,28.63556,77.27309
Delhi,243351866,130.0,residential,1,40,0,15,2,0,1,5,2,0,9.7,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.234,1.8,1.485,0.625482,2.4057,0.0075938035130169,1.4148055e-05,0,0.0,0,0.045907307,0,0,Safe (Both Agree),243351866,28.64989,77.1193
Delhi,1187329419,181.9,residential,1,40,0,17,2,2,0,0,0,0,3.0,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.32742,1.8,1.15,0.6777593999999999,1.863,0.0021144289519041,1.5673817e-05,0,0.0,0,0.020950185,0,0,Safe (Both Agree),1187329419,28.54773,77.19977
Delhi,28773614,181.7,primary,1,60,1,7,5,0,0,0,7,0,7.0,723.7,30.2,0.0,11320,97.5,1,1,1,0,3,1,8.2,1.4899399999999998,1.56,1.35,3.13781364,8.6346,0.9871514024855716,0.9946708,1,0.9999,1,0.9616858,1,1,Confirmed Black Spot,28773614,28.58087,77.17464
Pune,567624020,62.1,tertiary,1,40,0,38,3,0,0,1,0,0,1.3,1155.4,30.4,0.0,603,61.0,0,1,0,0,1,0,3.4,0.21114,1.8,1.065,0.40475538,3.2589,0.0210233639006634,0.00014307421,0,0.0,0,0.1515928,0,0,Safe (Both Agree),567624020,18.56115,73.9213
Delhi,1312417901,51.4,residential,1,40,0,23,2,1,1,0,0,1,3.5,723.7,30.2,0.0,11320,97.5,0,1,1,0,2,0,1.8,0.0925199999999999,1.8,1.175,0.1956798,1.9035,0.003105901222681,1.0872115e-05,0,0.0,0,0.054285254,0,0,Safe (Both Agree),1312417901,28.7189,77.14234
Pune,1419360376,331.6,residential,1,40,0,1,2,0,0,0,0,0,0.0,1155.4,30.4,0.0,603,61.0,0,0,0,0,0,0,1.8,0.5968800000000001,1.08,1.0,0.6446304000000002,0.972,0.0093961571464518,6.142698e-06,0,0.0,0,0.14500947,0,0,Safe (Both Agree),1419360376,18.32248,74.59615
Delhi,1308793632,27.3,living_street,1,40,0,60,1,1,1,0,0,0,2.7,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.0,0.0273,1.8,1.135,0.0557739,0.5577390000000001,7.518222484543644e-05,1.985235e-06,0,0.0,0,0.0002969169,0,0,Safe (Both Agree),1308793632,28.64673,77.21452
Delhi,423055601,22.8,residential,1,40,0,20,2,0,0,0,0,0,0.0,723.7,30.2,0.0,11320,97.5,0,1,0,0,1,0,1.8,0.04104,1.8,1.0,0.073872,0.7387200000000002,0.0002458722010575,1.0411718e-06,0,0.0,0,0.00056192686,0,0,Safe (Both Agree),423055601,28.66724,76.95335
Pune,218691405,50.2,residential,2,40,0,5,2,2,2,0,0,0,5.4,1155.4,30.4,0.0,603,61.0,0,1,1,0,2,0,1.8,0.09036,1.4,1.27,0.16066008,1.6002,0.0232880966605186,1.4008748e-05,0,0.0,0,0.21771988,0,0,Safe (Both Agree),218691405,18.56354,73.80075
